performance,age_graded_performance,flags,name,nationality,date,year,date_of_birth,age_group,venue,runner_id,event_id
3:17:50,3:00:22,S,"Mann, Peter",GER,31.10.1987,1987,10.10.1939,M45,Rodenbach (GER),1589,2216
3:52:05,3:44:09,ST,"Howie, Alistair",GBR,31.05.1987,1987,16.09.1945,M40,"Ottawa, ON (CAN)",107180,22795
4:30:26,4:30:26,ST,"Kis-Kiraly, Ernö",HUN,31.05.1987,1987,26.03.1958,M23,"Ottawa, ON (CAN)",78145,22795
4:50:42,4:47:17,ST,"Rigout, Jean",FRA,31.05.1987,1987,01.01.1950,M35,"Ottawa, ON (CAN)",98797,22795
5:53:55,5:48:09,ST,"Debladis, Serge",FRA,31.05.1987,1987,06.12.1948,M35,"Ottawa, ON (CAN)",78164,22795
3:03:34,3:03:05,,"Fekner, Stefan",CAN,22.03.1987,1987,06.06.1952,M23,"Vancouver, BC (CAN)",85425,22432
3:06:52,3:06:52,,"Devine, John",USA,12.12.1987,1987,1956,M23,"Tallahassee, FL (USA)",216645,11369
3:18:07,3:18:07,,"Burr, Tom",USA,12.12.1987,1987,1959,M23,"Tallahassee, FL (USA)",216604,11369
3:22:52,2:52:21,T,"Perkins, Otho",USA,23.03.1987,1987,1930,M55,"Worthington, OH (USA)",1020553,44405
3:26:04,3:26:04,,"Barr, Steven",CAN,22.03.1987,1987,17.07.1955,M23,"Vancouver, BC (CAN)",280137,22432
3:28:12,3:21:05,,"Sheffield, David",USA,12.12.1987,1987,1945,M40,"Tallahassee, FL (USA)",216576,11369
3:29:57,3:29:23,,"Sinkoski, Michael",USA,12.12.1987,1987,1952,M23,"Tallahassee, FL (USA)",216646,11369
3:37:02,3:29:37,,"Barber, Douglas",CAN,06.09.1987,1987,05.09.1946,M40,"St. Jacobs, ON (CAN)",20206,24921
3:38:46,3:38:46,,"Butler, John",CAN,06.09.1987,1987,1957,M23,"St. Jacobs, ON (CAN)",603082,24921
3:42:57,3:39:19,,"Miller, Alan",USA,12.12.1987,1987,1948,M35,"Tallahassee, FL (USA)",216606,11369
3:43:06,3:41:19,,"Slater, Terry",CAN,22.03.1987,1987,1950,M35,"Vancouver, BC (CAN)",523071,22432
3:47:50,3:38:22,,"Hillison, William",USA,12.12.1987,1987,1944,M40,"Tallahassee, FL (USA)",49893,11369
3:47:50,3:31:17,,"Jordan, Bill",USA,12.12.1987,1987,1940,M45,"Tallahassee, FL (USA)",216580,11369
3:52:30,3:52:30,,"Maitland, Clayton",CAN,22.03.1987,1987,1959,M23,"Vancouver, BC (CAN)",523075,22432
3:53:14,3:53:14,,"Nicholson, Ken",CAN,22.03.1987,1987,1956,M23,"Vancouver, BC (CAN)",80769,22432
3:53:57,3:53:55,,"Villeneuve, Raymond",CAN,22.03.1987,1987,1954,M23,"Vancouver, BC (CAN)",115946,22432
4:01:39,3:30:55,,"Sadgrove, Roy",CAN,22.03.1987,1987,1933,M50,"Vancouver, BC (CAN)",523073,22432
4:05:01,4:05:01,,"Petramalo, Tom",USA,22.03.1987,1987,1959,M23,"Vancouver, BC (CAN)",523074,22432
4:05:10,3:56:47,ST,"Martin, Terry",CAN,31.05.1987,1987,1945,M40,"Ottawa, ON (CAN)",36466,22795
